"CHE_CODI","B145_CODI","ORG_NABREV","ORG_NOME","CHE_DATA","CHE_VALID","ORG_ENDER","ORG_COMPL","ORG_CIDADE","ORG_ESTADO","ORG_CEP","ORG_FONEAREA","ORG_FONE","ORG_SITE","ORG_EMAIL","PAIS_NOME","B145_ADM","B145_TIPO","B145_STATUS","ORGP_SIGLA","ORGP_NOME","URL_CHE","URL_EO"
"9106-01/ANAC","0000000011","AERO HÉLICE","AERO HELICE DE AERONAVES LTDA","01/11/2021","","Rua Viracopos 150 - Bairro Jardim Aeroporto","","Várzea Grande","MT","78125-030","65","3686-2199","","aerohelice@hotmail.com, ctmaerohelice@gmail.com, eliveltonadv1984@gmail.com","Brasil","S","P","V","AERO HÉLICE","AERO HELICE DE AERONAVES LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9106-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001087.pdf"
"7107-01/ANAC","0000000012","AERO KING ARAÇATUBA","AERO KING - MANUTENÇÃO DE AEROAVES LTDA","01/11/2021","","RODOVIA OLEGÁRIO FERRAZ S/N - HANGAR L16","","ARAÇATUBA","SP","16052-900","18","3621-6651","","aerokingltda@gmail.com","Brasil","S","P","V","AERO KING","AERO KING - MANUTENÇÃO DE AEROAVES LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7107-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001088.pdf"
"7405-04/ANAC","0000000013","AERO RÁDIO","AERO RÁDIO ELETRÔNICA DE AVIAÇÃO LTDA","01/11/2021","","Av. Caiapó N.º 1717 Qd. 85 lt. 125 Santa Genoveva","","Goiânia","GO","74672-400","62","3207-3820/3830","","ctm@aeroradio.com.br, dennermiranda@msn.com","Brasil","S","P","V","AERO RÁDIO","AERO RÁDIO ELETRÔNICA DE AVIAÇÃO LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7405-04_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001089.pdf"
"0001-01/ANAC","0000000014","AERO RURAL","AERO RURAL OFICINA DE MANUTENÇÃO AERONÁUTICA LTDA","01/11/2021","","Sítio Pouso do Aviador (SSAY) - BR 262  -  KM  3177 ","","Campo Grande","MS","79100-000","67","3344-0241/6922","","rt_aerorural@hotmail.com, fhvalverde@yahoo.com.br, aeroruralgestor@outlook.com","Brasil","S","P","V","AERO RURAL","AERO RURAL OFICINA DE MANUTENÇÃO AERONÁUTICA LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0001-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001090.pdf"
"7612-01/ANAC","0000000015","POTY TERESINA","AERO TÁXI POTY LTDA","01/11/2021","","Aeroporto Senador Petrônio Portela SN - Hangar 02","","Teresina","PI","64006-970","86","3225-1123/1150","","campelopotymanutencao@hotmail.com","Brasil","S","P","V","POTY","AERO TÁXI POTY LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7612-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001091.pdf"
"9804-03/ANAC","0000000016","AEROARTE","AEROARTE - COMÉRCIO E SERVIÇOS DE TAPEÇARIA LTDA","01/11/2021","","Rua Francisco Marinho 109 Vila Baruel","","SÃO PAULO","SP","02523-070","11","2950-4939","www.aeroarte.com.br","ctm@aeroarte.com.br","Brasil","S","P","V","AEROARTE","AEROARTE - COMÉRCIO E SERVIÇOS DE TAPEÇARIA LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9804-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001092.pdf"
"0503-02/ANAC","0000000017","AEROCAMP AEROPORTO DOS AMARAIS","AEROCAMP COMÉRCIO E SERVIÇOS AERONÁUTICOS LTDA","01/11/2021","","RUA SYLVIA DA SILVA BRAGA 415","","CAMPINAS","SP","13082-080","19","3246-2023","","aerocamp@uol.com.br","Brasil","S","P","V","AEROCAMP","AEROCAMP COMÉRCIO E SERVIÇOS AERONÁUTICOS LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0503-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001093.pdf"
"6901-01/ANAC","0000000018","AC BAURU","AEROCLUBE DE BAURU","01/11/2021","","ALAMEDA DR. OCTÁVIO PINHEIRO BRISOLLA 19.100 ","","BAURU","SP","17012-191","14","3223-1800","www.aeroclubebauru.com.br","oficina@aeroclubebauru.com.br, diretoria@aeroclubebauru.com.br","Brasil","S","P","V","AC BAURU ","AEROCLUBE DE BAURU","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-6901-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001094.pdf"
"7304-02/ANAC","0000000019","AC BRAGANÇA","AEROCLUBE DE BRAGANÇA PAULISTA","01/11/2021","","AERÓDROMO ARTHUR SIQUEIRA","","BRAGANÇA PAULISTA","SP","12900-000","11","4032-3434","www.acbp.com.br","oficina@acbp.com.br, estoque@acbp.com.br, rodrigocamargoleme@gmail.com   ","Brasil","S","P","V","AC BRAGANÇA ","AEROCLUBE DE BRAGANÇA PAULISTA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7304-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001095.pdf"
"7508-02/ANAC","0000000020","AC BRASÍLIA","AEROCLUBE DE BRASÍLIA","01/11/2021","","Aeroporto Municipal Brig. Araripe Macedo","","Luziânia","GO","72800-000","61","3084-4650","www.aeroclubedebrasilia.org.br","oficinaluziania1@hotmail.com, ribeiroassessoria@brturbo.com.br, hangar38ra@gmail.com, marcelozanolla@gmail.com","Brasil","S","P","V","AC BRASÍLIA","AEROCLUBE DE BRASÍLIA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7508-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001096.pdf"
"8904-02/ANAC","0000000021","AC JUNDIAÍ","AEROCLUBE DE JUNDIAÍ","01/11/2021","","AEROPORTO ESTADUAL DE JUNDIAÍ S/N","","JUNDIAÍ","SP","13211-771","11","4582-1745","www.aeroclubejundiai.com.br","aerojund@terra.com.br","Brasil","S","P","V","AC JUNDIAÍ","AEROCLUBE DE JUNDIAÍ","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-8904-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001097.pdf"
"7001-02/ANAC","0000000022","AC SÃO PAULO","AEROCLUBE DE SÃO PAULO","01/11/2021","","CAMPO DE MARTE","","SÃO PAULO","SP","02012-000","11","2221-4974","www.aeroclubesp.com.br","ctm@aeroclubesp.com.br","Brasil","S","P","V","AC SÃO PAULO","AEROCLUBE DE SÃO PAULO","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7001-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001098.pdf"
"9503-02/ANAC","0000000023","AEROESPINA","AEROESPINA LTDA","01/11/2021","","Av. Santos Dumont s/n° Hangar 20 Kennedy. - Caixa Postal 90","Aeroporto Oscar Laranjeiras","Caruaru","PE","55002-970","81","4105-2366","","","Brasil","S","P","V","AEROESPINA","AEROESPINA LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9503-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001099.pdf"
"0604-01/ANAC","0000000024","BRISTOW RJ","BRISTOW TAXI AEREO S.A.","01/11/2021","","Ladeira Nossa Senhora do Gloria n°163 4° e 5° andar - Glória","","RIO DE JANEIRO","RJ","22211-100","21","3235-9314 / 32350969","www.bristowgroup.com","aeroleo@aeroleo.com.br, marcos.toledo@bristowgroup.com, mario.magalhaes@bristowgroup.com","Brasil","S","","V","BRISTOW","BRISTOW TAXI AEREO S.A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0604-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001100.pdf"
"0604-01/ANAC","0000000025","BRISTOW MACAÉ","BRISTOW TAXI AEREO S.A.","01/11/2021","","Estrada do Imburo S/N - AEROPORTO DE MACAÉ HANGAR AERÓLEO","","MACAÉ","RJ","28700-000","22","2796-9350","https://www.erahelicopters.com/pt_BR","marcos.toledo@bristowgroup.com","Brasil","N","S","V","BRISTOW","BRISTOW TAXI AEREO S.A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0604-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001101.pdf"
"0604-01/ANAC","0000000026","AERÓLEO SALVADOR","AERÓLEO TÁXI AÉREO S/A","01/11/2021","","Aeroporto Luiz Eduardo Magalhães – Hangar ADDEY Táxi Aéreo","","SALVADOR","BA","41510-250","","","","","Brasil","N","S","S","BRISTOW","BRISTOW TAXI AEREO S.A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0604-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001102.pdf"
"0604-01/ANAC","0000000027","AERÓLEO SÃO TOMÉ","AERÓLEO TÁXI AÉREO S/A","01/11/2021","","Av.Deputado Alair Ferreira 1100 - Rodovia RJ 216","","SÃO TOMÉ","RJ","28142-000","22","2747-1845","","mtoledo@aeroleo.com.br","Brasil","N","S","S","BRISTOW","BRISTOW TAXI AEREO S.A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0604-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001103.pdf"
"0604-01/ANAC","0000000028","AERÓLEO PORTO URUCÚ","AERÓLEO TÁXI AÉREO S/A","01/11/2021","","Margem direita do Rio Urucú","","Coari","AM","69092-970","92","3616-6438","","","Brasil","N","S","C","BRISTOW","BRISTOW TAXI AEREO S.A.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0604-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001104.pdf"
"1706-41/ANAC","0000000029","AEROMEC AEROPORTO LEITE LOPES","AEROMEC COMERCIAL LTDA","01/11/2021","","AEROPORTO LEITE LOPES LOTE 10","Caixa Postal: 641","RIBEIRÃO PRETO","SP","14001-970","16","3628-0092","","aeromec@terra.com.br","Brasil","S","P","V","AEROMEC","AEROMEC COMERCIAL LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-1706-41_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001105.pdf"
"0512-04/ANAC","0000000030","AEROMONTECH GUARULHOS","AEROMONTECH COMÉRCIO E MANUTENÇÃO DE COMPONENTES DE AERONÁUTICA LTDA","01/11/2021","","Rua Buritama 27 - Cumbica","","GUARULHOS","SP","07170-170","","","","","Brasil","S","P","S","AEROMONTECH","AEROMONTECH COMÉRCIO E MANUTENÇÃO DE COMPONENTES DE AERONÁUTICA LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0512-04_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001106.pdf"
"","0000000031","AERONAL","AERONAL MANUTENÇÃO E REVISORA DE INSTRUMENTOS AERONÁUTICOS EIRELI - EPP","","","Rua Turquesa Nº 603","Recreio Campestre Jóia","Indaiatuba","SP","13.347-070","19","3936-1395","www.aeronal.com.br, aeronal@aeronal.com.br,","vasconcelos@aeross.com.br,qualidade@aeronal.com.br","Brasil","S","P","C","AERONAL","AERONAL - REVISADORA DE INSTRUMENTOS AERONÁUTICOS LTDA"," "," "
"0606-01/ANAC","0000000032","AEROSAFETY CONGONHAS","AEROSAFETY EQUIPAMENTOS DE SEGURANÇA LTDA","01/11/2021","","RUA Gustavo da Silveira 58 São Paulo SP","","SÃO PAULO","SP","04376-004","11","5034-7292","www.aerosafety.com.br","oficina@aerosafety.com.br","Brasil","S","P","V","AEROSAFETY","AEROSAFETY EQUIPAMENTOS DE SEGURANÇA LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0606-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001108.pdf"
"","0000000033","AEROSS","AEROSS MANUTENÇÃO AERONÁUTICA LTDA","","","Av da Aldeia 340","","BARUERI","SP","06440-000","11","4193-8899","www.aeross.com.br, douglas.oliveira@rcaonline.com.br","isaque@aeross.com.br,herculano@rcaonline.com.br","Brasil","S","P","C","AEROSS","AEROSS MANUTENÇÃO AERONÁUTICA LTDA"," "," "
"0701-01/ANAC","0000000034","AEROSTAR SALVADOR","AEROSTAR TÁXI AÉREO LTDA","01/11/2021","","Aeroporto Internacional Luis Eduardo Magalhães S/N Box T-29 São Cristovão","","Salvador","BA","41500-570","71","3377-1763","","ctm@aerostar.com.br,manutencao@aerostar.com.br","Brasil","S","P","V","AEROSTAR","AEROSTAR TÁXI AÉREO LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0701-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001110.pdf"
"6709-03/ANAC","0000000036","AT PAULISTA","AEROTÉCNICA PAULISTA SERVIÇOS E COMERCIO DE PEÇAS EIRELI EPP (DIAMOND AVIAÇÃO - SÃO PAULO)","01/11/2021","","AVENIDA OLAVO FONTOURA 1078 - LOTE 07 - SETOR D ","","SÃO PAULO","SP","02012-021","11","2221-5922","","engenharia.sp@diamondaviacao.com.br","Brasil","S","P","V","AT PAULISTA","AEROTÉCNICA PAULISTA SERVIÇOS E COMERCIO DE PEÇAS EIRELI EPP (DIAMOND SP)","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-6709-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001112.pdf"
"8004-03/ANAC","0000000037","AT VAVÁ","AEROTÉCNICA VAVÁ LTDA","01/11/2021","","AVENIDA DOS ESTUDANTES S/N","","SÃO JOSÉ DO RIO PRETO","SP","15035-010","17","3232-1551","www.aerotecnicavava.com.br","contato@aerovava.com.br,aline@aerovava.com.br,ctm@aerovava.com.br,atv8004@hotmail.com,carlinhos@aerovava.com.br,ashirosaki@hotmail.com","Brasil","S","P","V","AT VAVÁ","AEROTÉCNICA VAVÁ LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-8004-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001113.pdf"
"7505-01/ANAC","0000000038","AEROTESTE","AEROTESTE OFICINA DE TESTES LTDA","01/11/2021","","AVENIDA OLAVO FONTOURA 1078 SETOR D LOJA 11","","SÃO PAULO","SP","02012-020","11","2221-0659","","aeroteste@aeroteste.com.br","Brasil","S","P","V","AEROTESTE","AEROTESTE OFICINA DE TESTES LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-7505-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001114.pdf"
"8604-02/ANAC","0000000039","AGROER OFICINA DE MAN. DE AERONAVES","LUCIANA REIS SERAFINI","01/11/2021","","Rodovia BR 364 - Km 208 + 3 à esquerda s/n° - Gleba Rio Vermelho","Zona Rural","Rondonópolis","MT","78700-000","66","3423-5454","","ctm@agroer.com.br, luciana@agroer.com.br","Brasil","S","P","V","AGROER","LUCIANA REIS SERAFINI","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-8604-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001115.pdf"
"0101-03/ANAC","0000000040","ÁGUIA GOIÂNIA","ÁGUIA AVIAÇÃO E MANUTENÇÃO","01/11/2021","","Aeródromo Brigadeiro Eppinghaus - Rod. 070 - Km 05 - Lotes 141 e 142 -  Saída p/ Inhumas","","Goiânia","GO","74501-970","62","3298-1025/2587","","aguia.aviacao@hotmail.com, cleidianeoliveirasoares100@gmail.com,  josecipriano.aguia@gmail.com","Brasil","S","P","V","ÁGUIA","ÁGUIA AVIAÇÃO E MANUTENÇÃO","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0101-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001116.pdf"
"0001-02/ANAC","0000000041","LEONARDO","LEONARDO DO BRASIL LTDA.","01/11/2021","","Avenida Portugal 40.","Bairro de Itaqui","Itapevi","SP","06696-060","11","06276-015","www.leonardocompany.com/","","Brasil","S","P","V","LEONARDO","LEONARDO DO BRASIL LTDA.","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0001-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001117.pdf"
"9412-02/ANAC","0000000042","AIRSPEED","AIRSPEED SERVIÇOS AERONÁUTICOS LTDA","01/11/2021","","RUA CAPITÃO GUYNEMER Nº 610A - XERÉM","","DUQUE DE CAXIAS","RJ","25250-615","21","3261-5000/2432-8899","www.airspeed.com.br","ivenio@airspeed.com.br,rio@airspeed.com.br,","Brasil","S","P","V","AIRSPEED ","Airspeed Serviços Aeronáuticos Ltda","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9412-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001118.pdf"
"0305-01/ANAC","0000000043","ALFA INSTRU","ALFA INSTRUMENTOS AERONÁUTICOS LTDA","01/11/2021","","RUA ALFREDO PUJOL 84 CJ.02","","SÃO PAULO","SP","02017-000","11","2959-0828","","alfainstrumentos@yahoo.com.br","Brasil","S","P","V","ALFA INSTRU","ALFA INSTRUMENTOS AERONÁUTICOS LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0305-01_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001119.pdf"
"0002-04/ANAC","0000000044","ALIANÇA AVIAÇÃO","ALIANÇA AVIAÇÃO EIRELI","01/11/2021","","Av. Santos Dumont Setor Santa Genoveva S/N Hangar Aliança","","Goiânia","GO","74672-410","62","3207-6211","","ctecnico@allianca.com.br, engenharia@allianca.com.br, dennermiranda@msn.com","Brasil","S","P","V","ALIANÇA AVIAÇÃO","ALIANÇA AVIAÇÃO EIRELI","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0002-04_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001120.pdf"
"0212-02/ANAC","0000000045","AMARO E FRANÇA","AMARO E FRANÇA LTDA. ","01/11/2021","","RUA JURITI QUADRA 143 LOTE 61 SETOR SANTA GENOVEVA","","Goiânia","GO","74672-660","62","3920-0485","","","Brasil","S","P","S","AMARO E FRANÇA","AMARO E FRANÇA LTDA. ","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0212-02_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001121.pdf"
"0808-71/ANAC","0000000046","AMAZONAVES T.A. MANAUS","AMAZONAVES TÁXI AÉREO LTDA","01/11/2021","","AV. PROF. NILTON LINS 500 - HANGAR F - FLORES","","MANAUS","AM","69058-030","92","3654-5555","","amazonaves@amazonaves.com.br, ctm@amazonaves.com.br, geraldo.picao@amazonaves.com.br, andrebelinelli@yahoo.com.br","Brasil","S","P","V","AMAZONAVES T.A.","AMAZONAVES TÁXI AÉREO LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-0808-71_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001122.pdf"
"9903-03/ANAC","0000000047","AMÉRICA DO SUL SOROCABA","AMÉRICA DO SUL SERVIÇOS AERONÁUTICOS LTDA","01/11/2021","","RUA CAPITÃO DAVID JOAQUIM AUGUSTO Nº 55","Caixa Postal 2521","SOROCABA","SP","18070-145","15","3223-5203","www.americadosulaero.com.br","paulo@americadosulaero.com.br","Brasil","S","P","V","AMÉRICA DO SUL","AMÉRICA DO SUL SERVIÇOS AERONÁUTICOS LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9903-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001123.pdf"
"9903-03/ANAC","0000000048","AMÉRICA DO SUL JACAREPAGUÁ","AMÉRICA DO SUL SERVIÇOS AERONÁUTICOS LTDA","01/11/2021","","Av. Airton Senna 2541 – Hangar nº 30 Aeroporto de Jacarepaguá Barra da Tijuca","","RIO DE JANEIRO","RJ","22775-002","15","3223-5203","www.americadosulaero.com.br","rt@americadosulaero.com.br","Brasil","N","S","C","AMÉRICA DO SUL","AMÉRICA DO SUL SERVIÇOS AERONÁUTICOS LTDA","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE/CHE-9903-03_ANAC.pdf","https://sistemas.anac.gov.br/certificacao/AvGeral/CHE-Adendos/Ad-001124.pdf"
