codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
81347;A-037/CENIPA/2023 - 02;2024-12-19;2024-12-23;NULL;Divulgar os ensinamentos colhidos nesta investigação aos operadores de aeronave modeloT-188C, a fim de que esses operadores tomem conhecimento sobre a necessidade de observarem a correta instalação e fixação das abraçadeiras nos trens de pouso principais,bem como se as montagens estão permitindo o depósito e acúmulo de terra ou outros detritos entre as partes.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81322;A-028/CENIPA/2023 - 01;2024-12-19;2024-12-23;NULL;Divulgar os ensinamentos colhidos nesta investigação à empresa Mineiros Aviação Agrícola Ltda., a fim de que os pilotos dessa empresa atentem sobre a importância de serealizar corretamente os cálculos de peso e balanceamento, levando em consideração arelação entre o peso do produto constante do hopper e o peso máximo de decolagem, comatenção especial às diferentes altitudes de operação e temperaturas.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81244;A-005/CENIPA/202 - 01;2024-10-29;2024-11-04;2025-03-07;Divulgar os ensinamentos colhidos nesta investigação à Fundação Nacional do Índio(FUNAI), a fim de que aquela organização observe o cumprimento dos requisitos estabelecidos no RBAC 153, visando incrementar o nível de segurança operacional nos aeródromos sob sua responsabilidade.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81239;A-006/CENIPA/2023 - 01;2024-04-27;2024-05-10;2024-11-29;Divulgar os ensinamentos colhidos nesta investigação à Aplimax Aeroagrícola, a fim de alertar aquela empresa quanto aos perigos do posicionamento do abastecimento das aeronaves em área de pouso para uso aeroagrícola, com vistas a evitar a utilização de carretas estaqueadas ao solo próximo à pista.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81172;IG-143/CENIPA/2022 - 01;2023-11-22;2023-11-27;2024-05-24;Avaliar a pertinência de revisar a ICA 100-37 - “Serviços de Tráfego”, com o fito de acrescentar orientações claras aos controladores de tráfego aéreo no sentido de instruir adequadamente as aeronaves que estejam se aproximando para áreas diferentes daquelas designadas para pouso a executarem uma arremetida ou procedimento de aproximação perdida, a exemplo do que trata a publicação para os temas de incursão e/ou presença de obstáculos na pista.;ADOTADA DE FORMA ALTERNATIVA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
81159;A-138/CENIPA/2022 - 01;2024-04-27;2024-05-06;2024-07-22;Divulgar os ensinamentos presentes nesta investigação ao CIAC Natal Escola de Aviação Civil Ltda., a fim de que este Relatório Final seja utilizado nas ações de promoção da segurança operacional, com foco nos riscos decorrentes da falta de verificação visual da quantidade de combustível existente nas aeronaves, pelos pilotos, antes de cada voo.;ADOTADA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81085;A-122/CENIPA/2022 - 01;2024-06-03;2024-06-10;2024-07-22;Divulgar os ensinamentos colhidos da presente investigação aos Centros de Instrução de Aviação Civil (CIAC), com o objetivo de alertar os pilotos em formação sobre os riscos decorrentes da formação de gelo nos carburadores que equipam motores aeronáuticos convencionais.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81021;A-111/CENIPA/2022 - 01;2023-08-15;2023-09-11;2024-02-22;Atuar junto à Empresa Piquiri Aero Agrícola Ltda., a fim de verificar se o processo previsto no MGSO referente ao gerenciamento do risco na operação de decolagem em área de pouso para uso aeroagrícola atendem aos requisitos de segurança para este tipo de operação.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
81004;IG-105/CENIPA/2022 - 01;2025-02-17;2025-02-19;NULL;Atuar junto à NAV Brasil, a fim de assegurar-se de que, para efeito do cumprimento das instruções teóricas e práticas dos ATCO, que atuam no APP-TE e na TWR-TE, seja enfatizada a necessidade da adequada coordenação entre aqueles órgãos ATC, de modo a otimizar a fluidez e a segurança do tráfego, por se tratar de operação em espaço aéreoClasse “D”, em consonância com a letra “d”, item 3.4.1, da ICA 100-37/2020 - Serviços de Tráfego Aéreo, notadamente, quando envolver voos VFR e IFR.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
81004;IG-105/CENIPA/2022 - 02;2025-02-17;2025-02-19;NULL;Atuar junto à NAV Brasil, com o objetivo de assegurar-se de que, para efeito do cumprimento das instruções teóricas e práticas dos ATCO, que atuam no APP-TE e na TWR-TE, seja enfatizada a importância da utilização adequada das informações disponibilizadas pelo Repetidor de Vigilância do RADAR - TARIS, de forma a otimizar aprestação de serviço de tráfego aéreo e, por consequência, a fluidez e a segurança.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
81004;IG-105/CENIPA/2022 - 03;2025-02-17;2025-02-19;NULL;Divulgar os ensinamentos colhidos nesta investigação aos Provedores de Serviço deNavegação Aérea (PSNA) que atuam no controle de tráfego aéreo, a fim de que sejam utilizados nas ações de promoção da segurança operacional no âmbito de seus Sistemas de Gerenciamento da Segurança Operacional.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
81004;IG-105/CENIPA/2022 - 04;2025-02-17;2025-02-19;NULL;Divulgar os ensinamentos colhidos nesta investigação ao Grupo Especial de Inspeção deVoo (GEIV), com o propósito de que a conduta de seus pilotos, durante os treinamentos em simuladores contemplando situações de avisos gerados pelo sistema anticolisão de bordo (ACAS) das aeronaves, esteja em consonância com a ICA 100-32 - Procedimentos Operacionais e Orientações de Treinamento para Pilotos e Controladores de Tráfego Aéreo com Relação ao Sistema Anticolisão de Bordo (ACAS) e o Airplane Operations Manual daaeronave EMB-550.;AGUARDANDO RESPOSTA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
80966;A-101/CENIPA/2022 - 01;2024-10-29;2024-11-04;NULL;Atuar junto ao CIAC do Aeroclube de Juiz de Fora, a fim de que aquele Centro demonstre  que adota, no âmbito do seu Sistema de Gerenciamento da Segurança Operacional, medidas suplementares de gerenciamento de risco para a escalação dos seus pilotos, considerando a experiência de voo no modelo de aeronave utilizada na instrução aérea.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80961;A-099/CENIPA/2022-01;2024-11-29;2024-11-04;2024-12-23;Divulgar os ensinamentos colhidos na presente investigação aos Centros de Instrução de Aviação Civil (CIAC) que ministram instrução em helicópteros, buscando alertar os pilotos das aeronaves modelo Robinson 44 a respeito do Safety Notice - 34 (SN-34), pelo qual o fabricante da aeronave orienta quanto aos procedimentos a serem adotados nos casos de perda de controle translacional.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80959;IG-109/CENIPA/2022 - 01;2023-09-22;2023-10-09;2024-01-02;Divulgar os ensinamentos colhidos nesta investigação ao Provedor de Serviço de Navegação Aérea (PSNA) do Aeródromo Santa Genoveva (SBGO), a fim de que aquele Provedor, durante os eventos de promoção da segurança operacional internos, reforce a necessidade de realizar um bom planejamento para o sequenciamento de pouso,contemplando, dentre outras, performances de aeronaves, regras de voo, posição das aeronaves, condições meteorológicas e, em especial, prioridades para o pouso, conforme disposto no item 6.14.3 da ICA 100-37/2020.;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
80917;IG-089/CENIPA/2020 - 01;2023-08-15;2023-09-11;2024-01-02;Atuar junto ao Instituto de Cartografia Aeronáutica (ICA) de modo a reforçar o alerta quanto à possibilidade de pouso na Taxiway “J” por meio de nota Remark (RMK - observação) nas cartas Visual Approach Chart (VAC- carta de aproximação visual) e Instrument Approach Chart (IAC - carta de aproximação por instrumentos).;ADOTADA;DECEA;DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
80916;A-109/CENIPA/2022 - 01;2023-11-17;2023-11-21;2024-01-15;Divulgar os ensinamentos colhidos nesta investigação à Pioneira Comércio e Representação de Produtos Agrícolas Ltda.-ME, a fim de que aquele operador se conscientize sobre a necessidade do cumprimento dos requisitos estabelecidos pela Autoridade de Aviação Civil, os quais representam os padrões mínimos de segurança estabelecidos pelo Estado Brasileiro.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80885;A-086/CENIPA/2022 - 01;2023-08-15;2023-09-11;2023-12-20;Atuar junto ao operador do Aeródromo Sebastião José Pereira (SIPO) com o objetivo de verificar a necessidade de alteração cadastral das modificações das características físicas realizadas no referido aeródromo, a fim de divulga-las aos operadores por meio do ROTAER.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80800;A-074/CENIPA/2022 - 01;2024-04-27;2024-05-06;2024-07-25;Divulgar os ensinamentos colhidos na presente investigação ao operador do Aeródromo Clemente Verillo (SJEH), Ribeirão Bonito, SP, a fim de que aquele operador considere a necessidade de implementar melhorias na infraestrutura daquele aeródromo, de modo a evitar que as estruturas que circundam a pista tornem-se obstáculos às aeronaves que venham a experimentar uma excursão de pista.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80797;A-073/CENIPA/2022 - 01;2024-01-23;2024-01-23;2024-06-05;Atuar junto ao Centro de Instrução de Aviação Civil (CIAC) do Aeroclube de Fernandópolis, a fim de que aquele CIAC aprimore seus mecanismos de acompanhamento e supervisão da parte prática da instrução aérea, em especial na padronização de Instrutores de Voo (INVA) e coordenadores.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80797;A-073/CENIPA/2022 - 02;2024-01-23;2024-01-23;2024-01-30;Divulgar os ensinamentos colhidos na presente investigação aos Centros de Instrução quem ministram cursos práticos em aeronaves, no sentido de conscientizar esses Centros sobre a importância de uma adequada supervisão gerencial, buscando melhorar a qualidade da instrução aérea e mitigar os riscos de acidentes aeronáuticos.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80772;A-069/CENIPA/2022 - 01;2024-05-16;2024-05-17;2024-09-26;Avaliar a pertinência de emissão de diretrizes sobre a atividade de inspeção aérea de linha de transmissão de energia elétrica, com foco na segurança operacional, levando em consideração as orientações e estudos internacionais publicados sobre o tema.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80772;A-069/CENIPA/2022 - 02;2024-05-16;2024-05-17;2024-09-17;Divulgar os ensinamentos colhidos nesta investigação à Companhia Hidro Elétrica do São Francisco (CHESF), a fim de que esse operador possa aplicar as melhores práticas durante suas operações de inspeção de linha.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80772;A-069/CENIPA/2022 - 03;2024-05-16;2024-05-17;2024-09-17;Divulgar os ensinamentos colhidos na presente investigação às empresas que realizam aeroinspeção, com o propósito de alertar esses operadores quanto aos riscos decorrentes da inadequação da sinalização das linhas aéreas de transmissão de energia elétrica, com base no disposto na ABNT NBR 6535:2005.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80772;A-069/CENIPA/2022 - 04;2024-05-16;2024-05-21;NULL;Assegurar-se da adequação, pelas concessionárias de linhas aéreas de transmissão de energia elétrica que atuam nas diversas regiões do país, dos critérios estabelecidos na ABNT NBR 6535:2005.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80672;A-054/CENIPA/2022 - 01;2023-11-22;2023-11-27;2024-02-26;Divulgar os ensinamentos colhidos nesta investigação à Andrade Aviação Agrícola Ltda., afim de que aquele operador aprimore seus mecanismos de supervisão gerencial, objetivando garantir a manutenção de níveis adequados de segurança operacional, particularmente no que concerne às atividades de planejamento e de execução dos voos conduzidos por suas aeronaves.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80671;IG-055/CENIPA/2022 - 02;2024-10-29;2024-11-04;2025-01-17;Atuar junto à VOARE Táxi Aéreo Ltda., no sentido de garantir que aquela organização demonstre que realiza o gerenciamento adequado dos riscos de acordo com o seu Manual de Gerenciamento da Segurança Operacional (MGSO).;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80671;IG-055/CENIPA/2022-01;2024-11-29;2024-11-04;2025-01-17;Encaminhar os ensinamentos colhidos nesta investigação à Empresa VOARE Táxi Aéreo Ltda., a fim de que aquele Operador divulgue nos seus eventos de promoção da segurança operacional a importância da aplicação dos conceitos de Gerenciamento de Recursos de Tripulação nas operações, com ênfase na comunicação proativa, coordenação de cabine e relacionamento interpessoal.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80662;IG-051/CENIPA/2022 - 01;2024-12-19;2024-12-23;NULL;Analisar os dados colhidos na investigação e avaliar a viabilidade de realizar gestões junto ao fabricante da aeronave no sentido de revisar o sistema de indicação de posição dos trens de pouso, a fim de garantir que as indicações fornecidas pelo sistema sejam condizentes com a condição real de posição dos trens de pouso da aeronave.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80656;A-049/CENIPA/2022 - 01;2024-04-15;2024-04-16;2024-08-01;Atuar junto ao operador da aeronave, a fim de assegurar a correta aplicação dos mecanismos de gerenciamento de risco, principalmente na operação em aeródromos privados.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80656;A-049/CENIPA/2022 - 02;2024-04-15;2024-04-15;2024-08-01;Divulgar os ensinamentos colhidos nesta investigação aos Centros de Treinamento de Aviação Civil (CTAC) autorizados a ministrar instrução teórica e prática em aeronaves modelo EMB-505, com o objetivo de incentivar as boas práticas e recomendações para os procedimentos de pouso, bem como motivar a consulta aos documentos publicados pelo fabricante da aeronave.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80647;IG-047/CENIPA/2022 - 01;2023-04-17;2023-04-25;2023-08-09;Atuar junto à empresa Rio Branco Aerotáxi Ltda., a fim de que aquele operador aprimore o Sistema de Gerenciamento de Segurança Operacional (SGSO) adotado, sobretudo no que diz respeito aos mecanismos de supervisão gerencial e gerenciamento de risco de suas operações.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80623;A-039/CENIPA/2022 - 01;2024-07-30;2024-07-31;2024-11-01;Atuar junto à empresa IMAER - Ibitinga Manutenção de Aeronaves e Peças Ltda., COM nº 9404-02/ANAC, a fim de assegurar que a realização das inspeções dos motores de marca Lycoming, modelo IO-540-K1J5, atenda adequadamente à seção 4 do Lycoming Operator’s Manual, O-540 e IO-540 series, no que se refere à manutenção de velas de ignição.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80610;A-038/CENIPA/2022 - 01;2023-03-23;2023-04-10;2025-01-22;Atuar junto à empresa G2 Aeroagrícola Ltda., a fim de revisar o processo relativo ao GRSO previsto no seu MGSO e promover a segurança operacional entre seus pilotos, de modo a mitigar os riscos da operação de forma proativa.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80606;A-037/CENIPA/2020 - 01;2024-04-27;2024-04-29;2024-06-25;Atuar junto à Organização de Manutenção Top Line Táxi Aéreo Ltda., no intuito de assegurar a correção dos processos de assentamentos de manutenção, observando fielmente os requisitos estabelecidos pela ANAC, afetas aos registros primários de manutenção, manutenção preventiva, reconstrução e alteração.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80597;A-036/CENIPA/2022 - 01;2024-01-23;2024-01-23;2024-03-01;Atuar junto à empresa Marte Updates & Avionics Ltda. - ME (COM N° 1404-01/ANAC), a fim de assegurar que os processos gerenciais sejam pautados na regulamentação em vigor, de forma a assegurar a conformidade dos seus procedimentos de manutenção.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80597;A-036/CENIPA/2022 - 02;2024-01-23;2024-01-23;2024-02-22;Atuar junto ao CIAC Charlie 0 - Aeronautical Training Center Ltda., de modo que fique assegurado que os critérios para a manutenção dos limites de peso e balanceamento de suas aeronaves estejam em conformidade com a regulamentação em vigor.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80595;A-035/CENIPA/2022 - 01;2025-02-17;2025-02-17;NULL;Divulgar os ensinamentos colhidos na presente investigação ao operador do Aeródromo daFazenda Saco da Tapera (SSOT), no intuito de orientá-lo a manter atualizadas as informações sobre o aeródromo, assim como tentar evitar o ingresso de pessoas nas áreas operacionais por meio de sinalizações e/ou restrições de acesso.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80589;A-033/CENIPA/2022 - 01;2024-08-05;2024-08-06;2025-01-30;"Avaliar a pertinência de adotar as práticas recomendadas dispostas no Report 690, da International Association of Oil & Gas Producer, em especial a de realização do HUET; a utilização de um sistema de emergência de respiração por ar comprimido, tipo CA EBS; e utilização de Personal Locator Beacon pelos tripulantes e passageiros embarcados em voos comerciais offshore de helicóptero.";ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80589;A-033/CENIPA/2022 - 02;2024-08-05;2024-08-06;2024-09-10;Divulgar os ensinamentos colhidos da presente investigação, no âmbito dos operadores do RBAC 135 envolvidos com operação offshore, com o propósito de alertar os pilotos de helicóptero quanto à fiel observância da aplicação das técnicas de Crew Resourse Management, incluindo cross-checks e coordenação eficaz, notadamente, durante a aproximação final VMC para pouso em helideque.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80589;A-033/CENIPA/2022 - 03;2024-08-05;2024-08-06;2024-09-10;Assegurar-se da adoção de dispositivos, pela Líder Táxi Aéreo S.A. Air Brasil, com foco no aperfeiçoamento de seus mecanismos de supervisão gerencial, visando ao fiel cumprimento pelos pilotos dos Standard Calls e dos briefings previstos em todos os voos de treinamento, conforme estabelecido nos respectivos SOP e no PTO da empresa.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80589;A-033/CENIPA/2022 - 04;2024-08-05;2024-08-06;2025-01-30;Avaliar a pertinência de implementar um RBAC específico para a operação offshore, tendo em vista as peculiaridades atinentes a essa atividade aérea.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80581;A-032/CENIPA/2022 - 01;2023-05-31;2023-05-31;2023-06-02;Divulgar os ensinamentos contidos nesta investigação aos Centros de Instrução de Aviação Civil (CIAC), no sentido de recomendar a inclusão/reforço no seu programa de instrução, enfatizando a importância da reciclagem e manutenção do conhecimento teórico da aeronave.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80565;A-028/CENIPA/2022 - 01;2024-05-16;2024-05-17;NULL;Reavaliar seus processos internos, a fim de aprimorar os critérios de fiscalização de aeronaves experimentais após emissão do CAVE, em especial nos casos em que se verifique a ocorrência de acidentes, com o intuito de garantir a segurança operacional de tais equipamentos, sob os critérios em que o referido Certificado tenha sido emitido.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80565;A-028/CENIPA/2022 - 02;2024-05-16;2024-05-17;2024-06-18;Divulgar os ensinamentos colhidos nesta investigação nos seus eventos de promoção da segurança operacional, a fim de contribuir para o aumento da conscientização dos operadores e pilotos de aeronaves civis sobre a necessidade do cumprimento dos requisitos estabelecidos pela Autoridade de Aviação Civil.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80549;A-024/CENIPA/2022 - 01;2024-07-30;2024-07-31;NULL;Atuar junto à Terceiro Milênio Aviação Agrícola Ltda., no sentido de garantir a adequadaidentificação de partes e componentes de marcação obrigatória, conforme RBAC n° 45, Subparte B, Item 45.11, de modo a assegurar a rastreabilidade necessária à manutenção da condição de aeronavegabilidade de seus equipamentos.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80547;A-022/CENIPA/2022 - 01;2023-08-15;2023-09-11;2023-11-24;Atuar junto à Classic Escola de Aviação Civil Ltda., no sentido de que aquela organização demonstre que os seus processos de gerenciamento de risco estão efetivamente implantados e garantem níveis adequados de segurança operacional.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80540;A-021/CENIPA/2022 - 01;2024-10-14;2024-10-14;NULL;Revisitar seus processos internos, a fim de evitar que seus regulados deixem de cumpriros prazos estabelecidos nas Resoluções publicadas, em especial, as Unidades AéreasPúblicas que operam segundo os requisitos estabelecidos pelo RBAC 90.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80540;A-021/CENIPA/2022 - 02;2024-10-14;2024-10-14;NULL;Divulgar os ensinamentos colhidos nesta investigação à UAP da Brigada Militar do Estado do Rio Grande do Sul, para que eles sejam utilizados por aquele operador em eventos internos de promoção da segurança operacional.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80512;A-014/CENIPA/2022 - 01;2023-05-31;2023-06-01;2023-11-16;Atuar junto à Aero Agrícola Itaquiense Ltda., a fim de alertar aquele operador sobre a importância da correta confecção e da criteriosa observância do formulário de Gerenciamento dos Riscos à Segurança Operacional (GRSO), sobretudo no que diz respeito à identificação de perigos e mitigação dos riscos envolvidos nas operações em áreas de pouso para uso aeroagrícola.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80500;A-037/CENIPA/2023 - 01;2024-04-15;2024-04-15;2024-11-29;Atuar junto à empresa Sana Agro Aérea Sociedade Simples (COA n 2012-08-4IFB-04-01), no sentido de aquela empresa observe o disposto na Seção 137.215 do RBAC 137, a fim de que sejam identificados os perigos e implementadas ações mitigatórias coerentes ao tipo de operação realizada.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
80500;A-037/CENIPA/2023 - 02;2024-04-15;2024-04-15;2024-11-29;Atuar junto à empresa Sana Agro Aérea Sociedade Simples (COA n 2012-08-4IFB-04-01), a fim de que seus pilotos sejam orientados quanto à importância de realizar os cálculos corretos de peso e balanceamento da aeronave, levando-se em consideração a relação entre a capacidade de peso máximo do tanque de produtos (hopper), o peso máximo de decolagem da aeronave e as características de cada operação para cálculo de performance.;ADOTADA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
