codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
87107;PTMUI;***;AVIÃO;BOEING;777-32WER;B77W;JATO;BIMOTOR;346544;346544;384;2013;BRASIL;BRASIL;AVIÃO;***;AEROPORTO DE FRANKFURT ALEMANHA;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;NENHUM;0
87106;PTXPN;***;AVIÃO;AIRBUS;A321-211;A320;***;***;89000;89000;NULL;2016;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;ANTONIO CARLOS JOBIM / GALEÃO;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
87105;PSGRA;***;AVIÃO;BOEING COMPANY;B737-8 MAX;B38M;NULL;***;82190;82190;NULL;2023;BRASIL;BRASIL;AVIÃO;***;EDUARDO GOMES;MAESTRO WILSON FONSECA;DECOLAGEM;REGULAR;LEVE;0
87104;PSLBM;***;AVIÃO;AIRBUS S.A.S.;A321-271N;A21N;NULL;***;89000;89000;NULL;2024;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;LEVE;0
87103;PUTDP;***;ULTRALEVE;***;ADVENTURE;ULAC;PISTÃO;MONOMOTOR;420;420;2;2008;BRASIL;BRASIL;ULTRALEVE;***;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;EXPERIMENTAL;SUBSTANCIAL;1
87102;PRGUI;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;79015;79015;187;2011;BRASIL;BRASIL;AVIÃO;***;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;CONGONHAS;SUBIDA;REGULAR;NENHUM;0
87102;PSTEO;***;***;BEECH AIRCRAFT;400A;BE40;NULL;BIMOTOR;7393;7393;NULL;NULL;BRASIL;BRASIL;***;***;CAMPO DE MARTE - SP;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;DESCIDA;PRIVADA;NENHUM;0
87100;PRKLI;***;HELICÓPTERO;HELIBRAS;AS 350 B2;AS50;TURBOEIXO;MONOMOTOR;2250;2250;6;2008;BRASIL;BRASIL;HELICÓPTERO;***;FORA DE AERODROMO;SURUCUCU;CRUZEIRO;***;LEVE;0
87099;PRGYD;***;***;BOEING;737-8EH;B738;JATO;BIMOTOR;70533;70533;0;0;BRASIL;BRASIL;***;***;PRESIDENTE JUSCELINO KUBITSCHEK;MARECHAL CUNHA MACHADO;DECOLAGEM;REGULAR;LEVE;0
87098;MXLII - FL;***;***;;;;NULL;SEM TRAÇÃO;0;0;NULL;NULL;BRASIL;BRASIL;***;***;JABOTICABAL;BARTOLOMEU DE GUSMÃO;CRUZEIRO;AERODESPORTIVA;SUBSTANCIAL;1
87097;PRWBF;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;7;1990;BRASIL;BRASIL;AVIÃO;***;LEITE LOPES;PONTAL;TÁXI;PRIVADA;LEVE;0
87096;PTMXH;***;AVIÃO;AIRBUS;A321-231;A321;JATO;BIMOTOR;89000;89000;232;2011;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;CATARATAS;DECOLAGEM;REGULAR;LEVE;0
87095;PTMXC;***;AVIÃO;AIRBUS;A321-231;A321;JATO;BIMOTOR;89000;89000;232;2007;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;LEVE;0
87093;PRATV;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2012;BRASIL;BRASIL;AVIÃO;***;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;VIRACOPOS;SUBIDA;REGULAR;NENHUM;0
87092;PSGPB;***;AVIÃO;BOEING;737-8 MAX;B38M;NULL;***;82190;82190;0;2018;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;AEROPUERTO INTERNACIONAL MINISTRO PISTARINI;CRUZEIRO;REGULAR;NENHUM;0
87091;PRGXD;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;70533;70533;199;2013;BRASIL;BRASIL;AVIÃO;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
87090;PRGUN;***;AVIÃO;BOEING;737-8EH;B738;JATO;BIMOTOR;70533;70533;193;2012;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;SANTOS DUMONT;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
87089;PRMYJ;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2010;BRASIL;BRASIL;AVIÃO;***;PREFEITO RENATO MOREIRA;PRESIDENTE JUSCELINO KUBITSCHEK;CRUZEIRO;REGULAR;LEVE;0
87088;PREAE;***;HELICÓPTERO;SIKORSKY AIRCRAFT;S-76C;S76;TURBOEIXO;BIMOTOR;5307;5307;NULL;NULL;BRASIL;BRASIL;HELICÓPTERO;***;AERÓDROMO NÃO CADASTRADO;MACAÉ/RIO DE JANEIRO - JOAQUIM DE AZEVEDO MANCEBO;APROXIMAÇÃO FINAL;TÁXI AÉREO;NENHUM;0
87087;PRAKJ;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT76;TURBOÉLICE;BIMOTOR;22000;22000;0;2016;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;ADALBERTO MENDES DA SILVA;SUBIDA;REGULAR;NENHUM;0
87086;PRGOQ;***;AVIÃO;BOEING;737-76N;B737;JATO;BIMOTOR;61461;61461;153;2002;BRASIL;BRASIL;AVIÃO;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;SANTOS DUMONT;POUSO;REGULAR;LEVE;0
87085;PRYRR;***;AVIÃO;AIRBUS;A320-253N;A320;***;***;0;0;NULL;2018;BRASIL;BRASIL;AVIÃO;***;GUARARAPES - GILBERTO FREYRE;MARECHAL CUNHA MACHADO;CRUZEIRO;REGULAR;NENHUM;0
87084;PUHGM;***;GIROCÓPTERO;FLAVIUS NEVES;H2;ZZZZ;PISTÃO;MONOMOTOR;500;500;2;2019;BRASIL;BRASIL;GIROCÓPTERO;***;TARCÍSIO ROSADO;TARCÍSIO ROSADO;MANOBRA;EXPERIMENTAL;DESTRUÍDA;2
87082;PTWTC;***;AVIÃO;PIPER AIRCRAFT;PA-25-235;PA25;PISTÃO;MONOMOTOR;1315;1315;1;1968;BRASIL;BRASIL;AVIÃO;***;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
87081;PRNYA;***;AVIÃO;CESSNA AIRCRAFT;210L;C210;PISTÃO;MONOMOTOR;1724;1724;6;1974;BRASIL;BRASIL;AVIÃO;***;POUSO DA ÁGUIA;AUARIS;DECOLAGEM;***;NENHUM;0
87080;PSSLH;***;***;TEXTRON AVIATION;208B;C208;NULL;MONOMOTOR;3969;3969;NULL;NULL;BRASIL;BRASIL;***;***;AUARIS;POUSO DA ÁGUIA;TÁXI;***;NENHUM;0
87079;PTRBC;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1979;BRASIL;BRASIL;AVIÃO;***;NÃO IDENTIFICADO;NÃO IDENTIFICADO;INDETERMINADA;***;DESTRUÍDA;0
87078;PUTOP;***;ULTRALEVE;FLYER;PELICAN 500BR;ULAC;PISTÃO;MONOMOTOR;650;650;2;2007;BRASIL;BRASIL;ULTRALEVE;***;BRIGADEIRO LYSIAS RODRIGUES;ASSOCIAÇÃO TOCANTINENSE DE AVIAÇÃO;POUSO;PRIVADA;LEVE;0
87077;PRXMN;***;AVIÃO;BOEING;737-8 MAX;B38M;JATO;BIMOTOR;82644;82644;0;2021;BRASIL;BRASIL;AVIÃO;***;NÃO IDENTIFICADO;NÃO IDENTIFICADO;INSPEÇÃO DE TRÂNSITO/INTERVOO;REGULAR;LEVE;0
87076;PTMXC;***;AVIÃO;AIRBUS;A321-231;A321;JATO;BIMOTOR;89000;89000;232;2007;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR ANDRÉ FRANCO MONTORO;HERCÍLIO LUZ;CRUZEIRO;REGULAR;NENHUM;0
87075;PRJAW;***;HELICÓPTERO;SIKORSKY;S-92A;S92;TURBOEIXO;BIMOTOR;12020;12020;22;2012;BRASIL;BRASIL;HELICÓPTERO;***;FORA DE AERODROMO;JACAREPAGUÁ;CRUZEIRO;TÁXI AÉREO;NENHUM;0
87073;PRWBF;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;7;1990;BRASIL;BRASIL;AVIÃO;***;PONTAL;LEITE LOPES;POUSO;PRIVADA;LEVE;0
87072;PRCHS;***;HELICÓPTERO;SIKORSKY;S-92A;S92;TURBOEIXO;BIMOTOR;12020;12020;22;2009;BRASIL;BRASIL;HELICÓPTERO;***;FORA DE AERODROMO;JACAREPAGUÁ;CRUZEIRO;TÁXI AÉREO;NENHUM;0
87071;PSGBP;***;***;EMBRAER;EMB-110P1;E110;NULL;BIMOTOR;5670;5670;NULL;NULL;BRASIL;BRASIL;***;***;TRIMONTE;TRIMONTE;APROXIMAÇÃO FINAL;ESPECIALIZADA;LEVE;0
87069;PRXMW;***;AVIÃO;BOEING COMPANY;737-8 MAX;B38M;JATO;BIMOTOR;82644;82644;196;0;BRASIL;BRASIL;AVIÃO;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;SANTA MARIA;POUSO;REGULAR;LEVE;0
87067;PSLBD;***;AVIÃO;AIRBUS S.A.S.;A321-271NX;A21N;NULL;***;89000;89000;0;2024;BRASIL;BRASIL;AVIÃO;***;PINTO MARTINS;EDUARDO GOMES;CRUZEIRO;REGULAR;NENHUM;0
87066;PRMYR;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2012;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;CONGONHAS;POUSO;REGULAR;LEVE;0
87065;PRYRD;***;AVIÃO;AIRBUS;A320-251N;A320;JATO;TRIMOTOR;79000;79000;NULL;2016;BRASIL;BRASIL;AVIÃO;***;VAL DE CANS / JÚLIO CEZAR RIBEIRO;PINTO MARTINS;POUSO;REGULAR;LEVE;0
87064;PSSEN;***;***;PIPER AIRCRAFT;PA-34-220T;PA34;NULL;BIMOTOR;2155;2155;NULL;NULL;BRASIL;BRASIL;***;***;TERUEL IPANEMA ESTÂNCIA;FAZENDA ÁGUA DOCE DO PANTANAL;POUSO;PRIVADA;LEVE;0
87063;PSBAS;***;***;EMBRAER;EMB-505;E55P;NULL;BIMOTOR;8340;8340;NULL;NULL;BRASIL;BRASIL;***;***;SÃO PAULO CATARINA AEROPORTO EXECUTIVO;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;***;LEVE;0
87062;PRYSF;***;AVIÃO;AIRBUS;A320-251N;A20N;***;***;77000;77000;NULL;2019;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;GUARARAPES - GILBERTO FREYRE;DECOLAGEM;REGULAR;NENHUM;0
87061;PTIVN;***;AVIÃO;CESSNA AIRCRAFT;182P;C182;PISTÃO;MONOMOTOR;1338;1338;4;1973;BRASIL;BRASIL;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;DESTRUÍDA;1
87060;PRZBQ;***;AVIÃO;FLYER INDUSTRIA AERONAUTICA LTDA;RV-10;ZZZZ;PISTÃO;MONOMOTOR;1224;1224;4;2013;BRASIL;BRASIL;AVIÃO;***;FAZENDA SANTA TEREZA;ARAGARÇAS;POUSO;EXPERIMENTAL;LEVE;0
87059;PSJBP;***;***;AIR TRACTOR;AT-502B;AT5T;NULL;MONOMOTOR;3629;3629;NULL;NULL;BRASIL;BRASIL;***;***;FAZENDA MARANATA;FAZENDA MARANATA;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
87058;PPMSR;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;2012;BRASIL;BRASIL;AVIÃO;***;FAZENDA MIMOSO;SOROCABA;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
87057;PRPRM;***;AVIÃO;THRUSH AIRCRAFT;S2R-T34;SS2T;TURBOÉLICE;MONOMOTOR;2722;2722;0;2013;BRASIL;BRASIL;AVIÃO;***;AERO AGRÍCOLA RIO CLARO;AERO AGRÍCOLA RIO CLARO;MANOBRA;AGRÍCOLA;DESTRUÍDA;1
87056;PRTXE;***;AVIÃO;PIPER AIRCRAFT;PA-25-235;PA25;PISTÃO;MONOMOTOR;1315;1315;1;1968;BRASIL;BRASIL;AVIÃO;***;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
87056;PTVTR;***;AVIÃO;EMBRAER;EMB-202A;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2011;BRASIL;BRASIL;AVIÃO;***;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;POUSO;PRIVADA;SUBSTANCIAL;0
87054;PSAEV;***;AVIÃO;EMBRAER;ERJ 190-400;E295;NULL;BIMOTOR;61200;61200;0;2024;BRASIL;BRASIL;AVIÃO;***;PRESIDENTE JUSCELINO KUBITSCHEK;VIRACOPOS;SUBIDA;REGULAR;LEVE;0
87053;PSLIM;***;***;PIPER AIRCRAFT;PA-31T;PAY2;NULL;BIMOTOR;4082;4082;NULL;NULL;BRASIL;BRASIL;***;***;FAZENDA CEOLIM;TERUEL IPANEMA ESTÂNCIA;DECOLAGEM;PRIVADA;LEVE;0
87052;PRTKI;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A (600);AT72;TURBOÉLICE;BIMOTOR;22800;22800;73;2011;BRASIL;BRASIL;AVIÃO;***;HORÁCIO DE MATTOS;DEPUTADO LUÍS EDUARDO MAGALHÃES;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
87051;PRYYH;***;AVIÃO;AIRBUS;A320-251N;A20N;JATO;BIMOTOR;77000;77000;NULL;2017;BRASIL;BRASIL;AVIÃO;***;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;PLÁCIDO DE CASTRO;DECOLAGEM;REGULAR;LEVE;0
87050;PSSBB;***;***;EMBRAER;EMB-203;IPAN;NULL;MONOMOTOR;1900;1900;NULL;NULL;BRASIL;BRASIL;***;***;AERÓDROMO NÃO CADASTRADO;AERÓDROMO NÃO CADASTRADO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
87049;PRCFX;***;HELICÓPTERO;AGUSTA;AB139;A139;TURBOEIXO;BIMOTOR;6800;6800;17;2006;BRASIL;BRASIL;HELICÓPTERO;***;JACAREPAGUÁ;SKANDI SALVADOR;POUSO;TÁXI AÉREO;SUBSTANCIAL;0
87048;PRTYQ;***;AVIÃO;AIRBUS;A320-214;A320;***;SEM TRAÇÃO;78000;78000;0;2015;BRASIL;BRASIL;AVIÃO;***;DEPUTADO LUÍS EDUARDO MAGALHÃES;CONGONHAS;DECOLAGEM;REGULAR;LEVE;0
87047;PRMYM;***;AVIÃO;AIRBUS;A319-112;A319;JATO;BIMOTOR;75500;75500;154;2011;BRASIL;BRASIL;AVIÃO;***;SANTOS DUMONT;CONGONHAS;DESCIDA;REGULAR;LEVE;0
87046;PPJFF;***;AVIÃO;PIPER AIRCRAFT;PA-46-500TP;P46T;TURBOÉLICE;MONOMOTOR;2310;2310;NULL;NULL;BRASIL;BRASIL;AVIÃO;***;FRANK MILOYE MILENKOVICH;CONDOMÍNIO MENEGA;DESCIDA;PRIVADA;LEVE;0
87045;C-FEGI;***;AVIÃO;BOEING COMPANY;B737-9;B739;NULL;SEM TRAÇÃO;252700;252700;NULL;NULL;CANADÁ;CANADÁ;AVIÃO;***;TORONTO PEARSON INTERNATIONAL AIRPORT;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;LEVE;0
87043;PSRRG;***;***;AIR TRACTOR;AT-502B;AT5T;NULL;MONOMOTOR;3629;3629;NULL;NULL;BRASIL;BRASIL;***;***;MARACAJU;FORA DE AERODROMO;POUSO;AGRÍCOLA;LEVE;0
87042;PRXGT;***;AVIÃO;HAWKER BEECHCRAFT;C90GT;BE9L;TURBOÉLICE;BIMOTOR;4581;4581;8;2007;BRASIL;BRASIL;AVIÃO;***;GURUPI;FAZENDA ESTRELA DO ARAGUAIA;CRUZEIRO;PRIVADA;LEVE;0
87039;PRLSO;***;AVIÃO;CESSNA AIRCRAFT;210L;C210;PISTÃO;MONOMOTOR;1724;1724;6;0;BRASIL;BRASIL;AVIÃO;***;MATURACÁ;POUSO DA ÁGUIA;TÁXI;TÁXI AÉREO;NENHUM;0
87038;PTJLK;***;AVIÃO;CESSNA AIRCRAFT;U206F;C206;PISTÃO;MONOMOTOR;1633;1633;6;1974;BRASIL;BRASIL;AVIÃO;***;OLOMAI;MALBORO;CRUZEIRO;TÁXI AÉREO;NENHUM;0
87037;PTWMK;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1814;1814;1;1973;BRASIL;BRASIL;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;AGRÍCOLA;NENHUM;0
87036;PPDPD;***;AVIÃO;CESSNA AIRCRAFT;210N;C210;PISTÃO;MONOMOTOR;1724;1724;6;1979;BRASIL;BRASIL;AVIÃO;***;PALIMIÚ;POUSO DA ÁGUIA;POUSO;***;LEVE;0
87035;PRAXX;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2013;BRASIL;BRASIL;AVIÃO;***;AFONSO PENA;SALGADO FILHO;DECOLAGEM;REGULAR;LEVE;0
87034;PRYRA;***;AVIÃO;AIRBUS;A320-251N;A320;JATO;BIMOTOR;77000;77000;183;2016;BRASIL;BRASIL;AVIÃO;***;ANTONIO CARLOS JOBIM / GALEÃO;GUARARAPES - GILBERTO FREYRE;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
87033;PPPAF;***;AVIÃO;SOCATA;TBM700N;TBM7;TURBOÉLICE;MONOMOTOR;3354;3354;6;2007;BRASIL;BRASIL;AVIÃO;***;SÃO FÉLIX DO ARAGUAIA;Comandante Rolim Adolfo Amaro;CRUZEIRO;PRIVADA;NENHUM;0
87032;PRCHS;***;HELICÓPTERO;SIKORSKY;S-92A;S92;TURBOEIXO;BIMOTOR;12020;12020;22;2009;BRASIL;BRASIL;HELICÓPTERO;***;JACAREPAGUÁ;FORA DE AERODROMO;SUBIDA;TÁXI AÉREO;NENHUM;0
87031;PRXMG;***;AVIÃO;BOEING;737-8 MAX;B38M;JATO;BIMOTOR;82190;82190;196;2019;BRASIL;BRASIL;AVIÃO;***;EURICO DE AGUIAR SALLES;ANTONIO CARLOS JOBIM / GALEÃO;POUSO;REGULAR;LEVE;0
87030;PRAUE;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;0;2014;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;PRESIDENTE PRUDENTE;SUBIDA;REGULAR;LEVE;0
87029;PRGXU;***;AVIÃO;BOEING;737-8EH;B738;***;BIMOTOR;65990;65990;0;2014;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;CONGONHAS;CRUZEIRO;REGULAR;NENHUM;0
87027;PRMHP;***;AVIÃO;AIRBUS;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;***;CONGONHAS;PRESIDENTE JUSCELINO KUBITSCHEK;DECOLAGEM;REGULAR;LEVE;0
87026;PRXBH;***;AVIÃO;AIRBUS;A320;A320-;JATO;BIMOTOR;79000;79000;180;0;BRASIL;BRASIL;AVIÃO;***;ATLAS BRASIL CANTANHEDE;PRESIDENTE JUSCELINO KUBITSCHEK;APROXIMAÇÃO FINAL;REGULAR;LEVE;0
87025;PRYRS;***;AVIÃO;AIRBUS;A320-253N;A20N;JATO;BIMOTOR;77000;77000;182;2018;BRASIL;BRASIL;AVIÃO;***;SANTA GENOVEVA/GOIÂNIA;GUARARAPES - GILBERTO FREYRE;POUSO;REGULAR;LEVE;0
87024;PRMAK;***;AVIÃO;AIRBUS;A320-232;A320;JATO;BIMOTOR;77000;77000;166;2002;BRASIL;BRASIL;AVIÃO;***;NÃO IDENTIFICADO;GOVERNADOR ANDRÉ FRANCO MONTORO;POUSO;REGULAR;LEVE;0
87023;PRAXH;***;AVIÃO;EMBRAER;ERJ 190-200 LR;E195;JATO;BIMOTOR;50790;50790;125;2012;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;SANTOS DUMONT;DECOLAGEM;REGULAR;LEVE;0
87022;PRABK;***;AVIÃO;RAYTHEON AIRCRAFT;58;BE58;PISTÃO;BIMOTOR;2495;2495;6;1999;BRASIL;BRASIL;AVIÃO;***;AERÓDROMO NACIONAL DE AVIAÇÃO;FAZENDA VALE DOS SONHOS;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
87021;PTRDD;***;AVIÃO;AIR TRACTOR;AT-402B;AT3T;TURBOÉLICE;MONOMOTOR;3175;3175;1;2018;BRASIL;BRASIL;AVIÃO;***;FAZENDA GUATAMBU;FAZENDA GUATAMBU;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
87020;PRTKK;***;AVIÃO;ATR - GIE AVIONS DE TRANSPORT RÉGIONAL;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22800;22800;73;2012;BRASIL;BRASIL;AVIÃO;***;VIRACOPOS;LEITE LOPES;SUBIDA;REGULAR;NENHUM;0
